#Firmware: Speeduino 2022.04-dev
ToothTime,Time
uS,uS
1028.0,2709776.0
1016.0,2710792.0
1020.0,2711812.0
1012.0,2712824.0
1020.0,2713844.0
1028.0,2714872.0
1008.0,2715880.0
1024.0,2716904.0
MARK 007
1040.0,2717944.0
3132.0,2721076.0
1040.0,2722116.0
1032.0,2723148.0
1052.0,2724200.0
1032.0,2725232.0
1056.0,2726288.0
1020.0,2727308.0
1044.0,2728352.0
1056.0,2729408.0
1024.0,2730432.0
1036.0,2731468.0
1036.0,2732504.0
1036.0,2733540.0
1024.0,2734564.0
1028.0,2735592.0
1028.0,2736620.0
1028.0,2737648.0
1020.0,2738668.0
1044.0,2739712.0
1024.0,2740736.0
1040.0,2741776.0
1036.0,2742812.0
1036.0,2743848.0
1040.0,2744888.0
1044.0,2745932.0
1032.0,2746964.0
1044.0,2748008.0
1024.0,2749032.0
1036.0,2750068.0
1036.0,2751104.0
1032.0,2752136.0
1024.0,2753160.0
1028.0,2754188.0
1024.0,2755212.0
1024.0,2756236.0
1012.0,2757248.0
1020.0,2758268.0
1020.0,2759288.0
1020.0,2760308.0
1008.0,2761316.0
1016.0,2762332.0
1020.0,2763352.0
1016.0,2764368.0
1016.0,2765384.0
1000.0,2766384.0
1028.0,2767412.0
996.0,2768408.0
1008.0,2769416.0
1016.0,2770432.0
1020.0,2771452.0
1012.0,2772464.0
1028.0,2773492.0
1040.0,2774532.0
1020.0,2775552.0
1032.0,2776584.0
1020.0,2777604.0
1020.0,2778624.0
1024.0,2779648.0
3076.0,2782724.0
1032.0,2783756.0
1024.0,2784780.0
1024.0,2785804.0
1052.0,2786856.0
1040.0,2787896.0
1036.0,2788932.0
1040.0,2789972.0
1040.0,2791012.0
1040.0,2792052.0
1040.0,2793092.0
1036.0,2794128.0
1052.0,2795180.0
1044.0,2796224.0
1048.0,2797272.0
1044.0,2798316.0
1048.0,2799364.0
1040.0,2800404.0
1068.0,2801472.0
1044.0,2802516.0
1048.0,2803564.0
1072.0,2804636.0
1052.0,2805688.0
1056.0,2806744.0
1052.0,2807796.0
1068.0,2808864.0
1060.0,2809924.0
1040.0,2810964.0
1036.0,2812000.0
1064.0,2813064.0
1040.0,2814104.0
1044.0,2815148.0
1048.0,2816196.0
1036.0,2817232.0
1032.0,2818264.0
1040.0,2819304.0
1012.0,2820316.0
1020.0,2821336.0
1028.0,2822364.0
1036.0,2823400.0
1028.0,2824428.0
1020.0,2825448.0
1036.0,2826484.0
1012.0,2827496.0
1024.0,2828520.0
1024.0,2829544.0
1036.0,2830580.0
1036.0,2831616.0
1024.0,2832640.0
1036.0,2833676.0
1016.0,2834692.0
1044.0,2835736.0
1028.0,2836764.0
1040.0,2837804.0
1024.0,2838828.0
1044.0,2839872.0
1032.0,2840904.0
1036.0,2841940.0
3084.0,2845024.0
1032.0,2846056.0
1028.0,2847084.0
1032.0,2848116.0
1024.0,2849140.0
1004.0,2850144.0
1040.0,2851184.0
1012.0,2852196.0
1012.0,2853208.0
1020.0,2854228.0
MARK 008
1036.0,2855264.0
1020.0,2856284.0
1008.0,2857292.0
1032.0,2858324.0
1012.0,2859336.0
1020.0,2860356.0
988.0,2861344.0
3084.0,2864428.0
1028.0,2865456.0
1028.0,2866484.0
1032.0,2867516.0
1028.0,2868544.0
1040.0,2869584.0
1052.0,2870636.0
1016.0,2871652.0
1048.0,2872700.0
1036.0,2873736.0
1040.0,2874776.0
1052.0,2875828.0
1040.0,2876868.0
1044.0,2877912.0
1040.0,2878952.0
1044.0,2879996.0
1060.0,2881056.0
1040.0,2882096.0
1052.0,2883148.0
1052.0,2884200.0
1052.0,2885252.0
1056.0,2886308.0
1064.0,2887372.0
1056.0,2888428.0
1072.0,2889500.0
1048.0,2890548.0
1044.0,2891592.0
1072.0,2892664.0
1048.0,2893712.0
1060.0,2894772.0
1040.0,2895812.0
1068.0,2896880.0
1040.0,2897920.0
1048.0,2898968.0
1056.0,2900024.0
1068.0,2901092.0
1044.0,2902136.0
1044.0,2903180.0
1044.0,2904224.0
1036.0,2905260.0
1044.0,2906304.0
1052.0,2907356.0
1040.0,2908396.0
1040.0,2909436.0
1072.0,2910508.0
1012.0,2911520.0
1040.0,2912560.0
1056.0,2913616.0
1040.0,2914656.0
1056.0,2915712.0
1052.0,2916764.0
1064.0,2917828.0
1044.0,2918872.0
1052.0,2919924.0
1056.0,2920980.0
1044.0,2922024.0
1068.0,2923092.0
1056.0,2924148.0
3156.0,2927304.0
1040.0,2928344.0
1032.0,2929376.0
1052.0,2930428.0
1060.0,2931488.0
1044.0,2932532.0
1048.0,2933580.0
1036.0,2934616.0
1064.0,2935680.0
1024.0,2936704.0
1040.0,2937744.0
1032.0,2938776.0
1048.0,2939824.0
1024.0,2940848.0
1056.0,2941904.0
1028.0,2942932.0
1028.0,2943960.0
1032.0,2944992.0
1044.0,2946036.0
1036.0,2947072.0
1048.0,2948120.0
1040.0,2949160.0
1036.0,2950196.0
1052.0,2951248.0
1048.0,2952296.0
1040.0,2953336.0
1052.0,2954388.0
1044.0,2955432.0
1020.0,2956452.0
1052.0,2957504.0
1032.0,2958536.0
1028.0,2959564.0
1028.0,2960592.0
1052.0,2961644.0
1016.0,2962660.0
1028.0,2963688.0
1032.0,2964720.0
1020.0,2965740.0
1032.0,2966772.0
1020.0,2967792.0
1024.0,2968816.0
1024.0,2969840.0
1024.0,2970864.0
1004.0,2971868.0
1040.0,2972908.0
1004.0,2973912.0
1056.0,2974968.0
984.0,2975952.0
1024.0,2976976.0
1032.0,2978008.0
